State,City,poverty_rate
AL,Abanda,78.8
AL,Abbeville,29.1
AL,Adamsville,25.5
AL,Addison,30.7
AL,Akron,42
AL,Alabaster,11.2
AL,Albertville,26.7
AL,Alexander,30.4
AL,Alexandria,9.7
AL,Aliceville,41.3
AL,Allgood,27.7
AL,Altoona,27.5
AL,Andalusia,24.5
AL,Anderson,13.8
AL,Anniston,31.7
AL,Arab,16.7
AL,Ardmore,19.1
AL,Argo,8.6
AL,Ariton,37.6
AL,Arley,31.6
AL,Ashford,18.8
AL,Ashland,22.4
AL,Ashville,28.3
AL,Athens,13
AL,Atmore,24.7
AL,Attalla,20.3
AL,Auburn,31.8
AL,Autaugaville,24.1
AL,Avon,22.2
AL,Axis,6.8
AL,Babbie,15.7
AL,Baileyton,28.6
AL,Bakerhill,19.1
AL,Ballplay,7.1
AL,Banks,38.2
AL,Bay Minette,26.3
AL,Bayou La Batre,30.1
AL,Bear Creek,25.3
AL,Beatrice,44.9
AL,Beaverton,8.1
AL,Belgreen,28.8
AL,Belk,39.1
AL,Bellamy,42.9
AL,Belle Fontaine,36.7
AL,Benton,0
AL,Berry,30.9
AL,Bessemer,32.9
AL,Billingsley,20.5
AL,Birmingham,30.9
AL,Black,12.7
AL,Blountsville,41.2
AL,Blue Ridge,0.5
AL,Blue Springs,4
AL,Boaz,19.4
AL,Boligee,60.3
AL,Bon Air,47.6
AL,Bon Secour,18.2
AL,Boykin,53.7
AL,Brantley,20.7
AL,Brantleyville,19.2
AL,Brent,17.3
AL,Brewton,27.8
AL,Bridgeport,34.7
AL,Brighton,33
AL,Brilliant,22.5
AL,Bristow Cove,39.7
AL,Brook Highland,11.5
AL,Brookside,19.2
AL,Brookwood,10.8
AL,Broomtown,23.8
AL,Brundidge,32.4
AL,Bucks,0
AL,Butler,25.3
AL,Calera,5.8
AL,Calvert,79.4
AL,Camden,31.9
AL,Camp Hill,36.6
AL,Carbon Hill,32.2
AL,Cardiff,30
AL,Carlisle-Rockledge,17.2
AL,Carlton,18.9
AL,Carolina,7.4
AL,Carrollton,29.1
AL,Castleberry,39.6
AL,Catherine,0
AL,Cedar Bluff,25.8
AL,Center Point,25
AL,Centre,25.1
AL,Centreville,22.4
AL,Chatom,19.8
AL,Chelsea,4.9
AL,Cherokee,19.9
AL,Chickasaw,33.6
AL,Childersburg,38.6
AL,Choccolocco,14.7
AL,Chunchula,0
AL,Citronelle,16.9
AL,Clanton,16.9
AL,Clay,6.6
AL,Clayhatchee,16.4
AL,Clayton,29.3
AL,Cleveland,15
AL,Clio,31.4
AL,Coaling,19.5
AL,Coats Bend,15
AL,Coffee Springs,21.2
AL,Coffeeville,41.3
AL,Coker,10
AL,Collinsville,32.1
AL,Colony,24.8
AL,Columbia,20.1
AL,Columbiana,24
AL,Concord,7.9
AL,Coosada,23.5
AL,Cordova,32.8
AL,Cottondale,12.8
AL,Cottonwood,29.8
AL,County Line,10.7
AL,Courtland,25.8
AL,Cowarts,11.7
AL,Creola,18.1
AL,Crossville,38.1
AL,Cuba,21
AL,Cullman,21.9
AL,Cullomburg,8.5
AL,Cusseta,9.3
AL,Dadeville,28.8
AL,Daleville,24.5
AL,Daphne,11.2
AL,Dauphin Island,3.6
AL,Daviston,12.9
AL,Dayton,48
AL,Deatsville,5.1
AL,Decatur,21.2
AL,Deer Park,28.1
AL,Delta,0
AL,Demopolis,31
AL,Detroit,27.9
AL,Dodge,16.7
AL,Dora,17.2
AL,Dothan,19.1
AL,Double Springs,27.5
AL,Douglas,34.9
AL,Dozier,30.3
AL,Dunnavant,7.7
AL,Dutton,24.2
AL,East Brewton,30.6
AL,East Point,0
AL,Eclectic,13.4
AL,Edgewater,26.5
AL,Edwardsville,5.1
AL,Egypt,4.5
AL,Elba,31.1
AL,Elberta,15.8
AL,Eldridge,37.8
AL,Elkmont,11.2
AL,Elmore,30
AL,Emelle,0
AL,Emerald Mountain,8.2
AL,Enterprise,16.3
AL,Epes,24.8
AL,Ethelsville,32.3
AL,Eufaula,25.3
AL,Eunola,0
AL,Eutaw,32.7
AL,Eva,11.1
AL,Evergreen,52.6
AL,Excel,18.6
AL,Fairfield,23.4
AL,Fairford,0
AL,Fairhope,11.2
AL,Fairview,24
AL,Falkville,26
AL,Faunsdale,30.2
AL,Fayette,25.9
AL,Fayetteville,15.3
AL,Fitzpatrick,15.5
AL,Five Points,20.4
AL,Flomaton,30.2
AL,Florala,30.1
AL,Florence,24.6
AL,Foley,18.9
AL,Forestdale,17
AL,Forkland,48.1
AL,Fort Deposit,30.2
AL,Fort Payne,19
AL,Fort Rucker,8
AL,Franklin,6.6
AL,Fredonia,18.4
AL,Frisco,31.3
AL,Fruitdale,33
AL,Fruithurst,13.5
AL,Fulton,19.9
AL,Fultondale,14
AL,Fyffe,12.8
AL,Gadsden,29.4
AL,Gainesville,40.9
AL,Gallant,3.9
AL,Gantt,8.3
AL,Garden,19.3
AL,Gardendale,7.8
AL,Gaylesville,19.3
AL,Geiger,19.5
AL,Geneva,30.3
AL,Georgiana,35.5
AL,Geraldine,13.8
AL,Gilbertown,21.5
AL,Glen Allen,21.4
AL,Glencoe,11.1
AL,Glenwood,13.6
AL,Goldville,9.3
AL,Good Hope,15.2
AL,Goodwater,32.2
AL,Gordo,26.3
AL,Gordon,26.9
AL,Gordonville,39.2
AL,Goshen,31.9
AL,Graham,4.5
AL,Grand Bay,6.4
AL,Grant,7.2
AL,Grayson Valley,8.9
AL,Graysville,17.4
AL,Greensboro,39.3
AL,Greenville,25.8
AL,Grimes,19.1
AL,Grove Hill,26.1
AL,Guin,37.5
AL,Gulfcrest,0
AL,Gulf Shores,16.6
AL,Guntersville,16.2
AL,Gurley,30.8
AL,Gu-Win,12
AL,Hackleburg,25.7
AL,Hackneyville,17.8
AL,Haleburg,8.3
AL,Haleyville,26.8
AL,Hamilton,18.5
AL,Hammondville,8
AL,Hanceville,25.8
AL,Harpersville,18.8
AL,Hartford,36.7
AL,Hartselle,6.9
AL,Harvest,5.5
AL,Hatton,0
AL,Hayden,7.9
AL,Hayneville,44.4
AL,Hazel Green,14.9
AL,Headland,13.1
AL,Heath,32.5
AL,Heflin,22.6
AL,Helena,2.1
AL,Henagar,19.4
AL,Highland Lake,9.2
AL,Highland Lakes,2
AL,Hillsboro,17.6
AL,Hissop,23.2
AL,Hobson,0
AL,Hobson,41.3
AL,Hodges,26.9
AL,Hokes Bluff,13.7
AL,Hollins,24.4
AL,Hollis Crossroads,29
AL,Holly Pond,19
AL,Hollywood,20.3
AL,Holt,46.4
AL,Holtville,11.1
AL,Homewood,12.7
AL,Hoover,6
AL,Horn Hill,10.2
AL,Hueytown,14.3
AL,Huguley,16.3
AL,Huntsville,18.2
AL,Hurtsboro,46
AL,Hytop,14.7
AL,Ider,15.4
AL,Indian Springs,4.4
AL,Irondale,20.5
AL,Ivalee,0
AL,Jackson,24.7
AL,Jacksons' Gap,26.1
AL,Jacksonville,31.2
AL,Jasper,22.3
AL,Jemison,24.9
AL,Joppa,0
AL,Kansas,25.3
AL,Kellyton,29.8
AL,Kennedy,10.9
AL,Killen,17.7
AL,Kimberly,6.3
AL,Kinsey,16.2
AL,Kinston,30.2
AL,Ladonia,26
AL,La Fayette,24.8
AL,Lakeview,13.5
AL,Lake View,2.2
AL,Lanett,29.8
AL,Langston,24.6
AL,Leeds,15.4
AL,Leesburg,18
AL,Leighton,25.6
AL,Leroy,6.7
AL,Lester,16.1
AL,Level Plains,11.1
AL,Lexington,21.3
AL,Libertyville,4.8
AL,Lillian,11.6
AL,Lincoln,12.7
AL,Linden,25.1
AL,Lineville,12.9
AL,Lipscomb,30.6
AL,Lisman,44.9
AL,Littleville,7.7
AL,Livingston,55.2
AL,Loachapoka,31.8
AL,Lockhart,14.9
AL,Locust Fork,14.2
AL,Lookout Mountain,14.9
AL,Louisville,11.8
AL,Lowndesboro,3.4
AL,Loxley,20
AL,Luverne,20.3
AL,Lynn,27.9
AL,McDonald Chapel,62.6
AL,Macedonia,4.2
AL,McIntosh,13.7
AL,McKenzie,22.5
AL,McMullen,40
AL,Madison,6.7
AL,Madrid,14.9
AL,Magnolia Springs,5.3
AL,Malcolm,63.7
AL,Malvern,19.8
AL,Maplesville,29.1
AL,Marbury,9.9
AL,Margaret,10.1
AL,Marion,33
AL,Maytown,9.2
AL,Meadowbrook,6.5
AL,Megargel,46.9
AL,Memphis,60.5
AL,Mentone,10.9
AL,Meridianville,15.4
AL,Midfield,20.1
AL,Midland,31.5
AL,Midway,43.1
AL,Mignon,26
AL,Millbrook,11.6
AL,Millerville,8.8
AL,Millport,22.4
AL,Millry,26
AL,Minor,10.8
AL,Mobile,23.3
AL,Monroeville,36.7
AL,Montevallo,25.5
AL,Montgomery,24.1
AL,Moody,9.9
AL,Moores Mill,11.1
AL,Mooresville,0
AL,Morris,5.8
AL,Morrison Crossroads,9.5
AL,Mosses,55.8
AL,Moulton,24.3
AL,Moundville,18.7
AL,Mountain Brook,3
AL,Mount Olive (Coosa County),1.7
AL,Mount Olive (Jefferson County),11
AL,Mount Vernon,31.3
AL,Movico,12.9
AL,Mulga,30.5
AL,Munford,18.8
AL,Muscle Shoals,10.7
AL,Myrtlewood,7
AL,Nanafalia,29.7
AL,Nances Creek,0
AL,Napier Field,21.7
AL,Natural Bridge,2.3
AL,Nauvoo,26.2
AL,Nectar,18.3
AL,Needham,1.9
AL,Newbern,35
AL,New Brockton,20.9
AL,New Hope,14.8
AL,New Market,0
AL,New Site,9.6
AL,Newton,17.7
AL,New Union,27.9
AL,Newville,21
AL,North Courtland,22.4
AL,North Johns,11.7
AL,Northport,13.7
AL,Notasulga,29.5
AL,Oak Grove,13.1
AL,Oak Hill,72.7
AL,Oakman,21.4
AL,Odenville,16.2
AL,Ohatchee,14.8
AL,Oneonta,12.8
AL,Onycha,23.4
AL,Opelika,23
AL,Opp,25.9
AL,Orange Beach,10.5
AL,Orrville,37.3
AL,Our,0
AL,Owens Cross Roads,9.5
AL,Oxford,11.7
AL,Ozark,23.1
AL,Paint Rock,35.6
AL,Panola,40.6
AL,Parrish,15.8
AL,Pelham,4.6
AL,Pell,20.8
AL,Pennington,34.9
AL,Penton,30.9
AL,Perdido,39.5
AL,Perdido Beach,17.7
AL,Peterman,14.2
AL,Petrey,0
AL,Phenix City,21
AL,Phil Campbell,34.4
AL,Pickensville,22.4
AL,Piedmont,25.6
AL,Pike Road,2.3
AL,Pinckard,13
AL,Pine Apple,21
AL,Pine Hill,48.5
AL,Pine Level,9.6
AL,Pine Ridge,44.7
AL,Pinson,5.8
AL,Pisgah,31.9
AL,Pleasant Grove,6.4
AL,Pleasant Groves,8.2
AL,Point Clear,12.1
AL,Pollard,24.2
AL,Powell,31.5
AL,Prattville,11.5
AL,Priceville,5.8
AL,Prichard,36.3
AL,Providence,10.8
AL,Putnam,30
AL,Ragland,17
AL,Rainbow,17.7
AL,Rainsville,16.7
AL,Ranburne,5.8
AL,Ray,5.8
AL,Red Bay,29.9
AL,Redland,5.9
AL,Red Level,17.6
AL,Redstone Arsenal,9.8
AL,Reece,13.7
AL,Reeltown,0
AL,Reform,39.9
AL,Rehobeth,9.5
AL,Repton,34.6
AL,Ridgeville,35.9
AL,River Falls,20.5
AL,Riverside,4.8
AL,Riverview,15.9
AL,Roanoke,20.3
AL,Robertsdale,10.6
AL,Rock Creek,8.1
AL,Rockford,38.1
AL,Rock Mills,36.7
AL,Rockville,0
AL,Rogersville,28.7
AL,Rosa,11.4
AL,Russellville,34.4
AL,Rutledge,13.5
AL,St. Florian,5
AL,St. Stephens,25.9
AL,Saks,17.9
AL,Samson,39.6
AL,Sand Rock,5.9
AL,Sanford,17.5
AL,Saraland,11.2
AL,Sardis,12.5
AL,Satsuma,10.3
AL,Scottsboro,16
AL,Section,25.9
AL,Selma,41.9
AL,Selmont-West Selmont,45.5
AL,Semmes,19.2
AL,Sheffield,25
AL,Shelby,36.8
AL,Shiloh,13.7
AL,Shoal Creek,2.6
AL,Shorter,12.9
AL,Silas,49
AL,Silverhill,7.5
AL,Sims Chapel,8.6
AL,Sipsey,15.2
AL,Skyline,19.4
AL,Slocomb,17.7
AL,Smiths Station,13.5
AL,Smoke Rise,5
AL,Snead,11
AL,Somerville,18.7
AL,Southside,4.7
AL,South Vinemont,32.8
AL,Spanish Fort,7.8
AL,Spring Garden,20.7
AL,Springville,9.3
AL,Spruce Pine,0
AL,Standing Rock,0
AL,Stapleton,7
AL,Steele,17.5
AL,Sterrett,8.5
AL,Stevenson,24.5
AL,Stewartville,17.5
AL,Stockton,1.4
AL,Sulligent,26.4
AL,Sumiton,17.6
AL,Summerdale,11.2
AL,Susan Moore,20.6
AL,Sweet Water,1.6
AL,Sylacauga,29.8
AL,Sylvania,17.9
AL,Sylvan Springs,5.3
AL,Talladega,27.2
AL,Talladega Springs,12.5
AL,Tallassee,17.1
AL,Tarrant,31.8
AL,Taylor,19.6
AL,Theodore,12.2
AL,Thomaston,18.3
AL,Thomasville,13.3
AL,Thorsby,19.2
AL,Tibbie,70.8
AL,Tidmore Bend,12.1
AL,Tillmans Corner,17.7
AL,Town Creek,29.6
AL,Toxey,33.5
AL,Trafford,29.1
AL,Triana,27.1
AL,Trinity,10
AL,Troy,31.1
AL,Trussville,4.7
AL,Tuscaloosa,25.1
AL,Tuscumbia,15.3
AL,Tuskegee,27.6
AL,Twin,16.5
AL,Underwood-Petersville,12.9
AL,Union,22.7
AL,Union Grove,6.2
AL,Union Springs,26.8
AL,Uniontown,48.4
AL,Uriah,14.7
AL,Valley,18.5
AL,Valley Grande,12.3
AL,Valley Head,23.2
AL,Vance,9
AL,Vandiver,12.3
AL,Vernon,31.1
AL,Vestavia Hills,4.3
AL,Vina,23.9
AL,Vincent,10.9
AL,Vinegar Bend,0
AL,Vredenburgh,39
AL,Wadley,34.7
AL,Waldo,22
AL,Walnut Grove,10.3
AL,Warrior,18.8
AL,Waterloo,18.2
AL,Waverly,10.9
AL,Weaver,5.7
AL,Webb,18.7
AL,Wedowee,26.7
AL,Weogufka,43.2
AL,West Blocton,31.6
AL,West End-Cobb,19.6
AL,West Jefferson,10.2
AL,Westover,13.4
AL,West Point,14.2
AL,Wetumpka,10.7
AL,Whatley,-
AL,White Hall,42.7
AL,White Plains,5
AL,Whitesboro,25.2
AL,Wilsonville,20.3
AL,Wilton,12
AL,Winfield,13.3
AL,Woodland,26.6
AL,Woodstock,13.5
AL,Woodville,25.9
AL,Yellow Bluff,44.1
AL,York,46.8
AK,Adak,39.3
AK,Akhiok,40.5
AK,Akiachak,26.1
AK,Akiak,31.3
AK,Akutan,16.1
AK,Alakanuk,44.6
AK,Alatna,0
AK,Alcan Border,0
AK,Aleknagik,11.6
AK,Aleneva,0
AK,Allakaket,9.1
AK,Ambler,21.4
AK,Anaktuvuk Pass,26.3
AK,Anchorage,8.2
AK,Anchor Point,10.1
AK,Anderson,0
AK,Angoon,17.8
AK,Aniak,19
AK,Anvik,16.3
AK,Arctic,36.6
AK,Atka,1.5
AK,Atmautluak,25.6
AK,Atqasuk,23.3
AK,Attu Station,-
AK,Badger,4.5
AK,Barrow,11.7
AK,Bear Creek,12.7
AK,Beaver,30
AK,Beluga,33.3
AK,Bethel,11.4
AK,Bettles,0
AK,Big Delta,13
AK,Big Lake,9.6
AK,Birch Creek,100
AK,Brevig Mission,57.6
AK,Buckland,24.4
AK,Buffalo Soapstone,4.6
AK,Butte,9.6
AK,Cantwell,9.1
AK,Central,5.2
AK,Chalkyitsik,36.6
AK,Chase,0
AK,Chefornak,18.4
AK,Chena Ridge,4.9
AK,Chenega,34.8
AK,Chevak,32.8
AK,Chickaloon,13.5
AK,Chicken,-
AK,Chignik,0
AK,Chignik Lagoon,0
AK,Chignik Lake,8.6
AK,Chiniak,0
AK,Chisana,-
AK,Chistochina,20.3
AK,Chitina,15
AK,Chuathbaluk,50.5
AK,Circle,63.6
AK,Clam Gulch,13.2
AK,Clark's Point,55.4
AK,Coffman Cove,6
AK,Cohoe,16
AK,Cold Bay,0
AK,Coldfoot,30
AK,College,8.2
AK,Cooper Landing,4.2
AK,Copper Center,18.8
AK,Cordova,5.8
AK,Covenant Life,0
AK,Craig,13.9
AK,Crooked Creek,39.8
AK,Crown Point,0
AK,Deering,14
AK,Delta Junction,10.6
AK,Deltana,14.9
AK,Diamond Ridge,9.2
AK,Dillingham,12.3
AK,Diomede,65.1
AK,Dot Lake,-
AK,Dot Lake,25.9
AK,Dry Creek,15.5
AK,Eagle,25.8
AK,Eagle,17.6
AK,Edna Bay,-
AK,Eek,21.2
AK,Egegik,17.6
AK,Eielson AFB,6.8
AK,Ekwok,28.6
AK,Elfin Cove,0
AK,Elim,29.3
AK,Emmonak,25.8
AK,Ester,9.1
AK,Eureka Roadhouse,-
AK,Evansville,0
AK,Excursion Inlet,12.5
AK,Fairbanks,13.1
AK,False Pass,5.4
AK,Farmers Loop,5.8
AK,Farm Loop,4.1
AK,Ferry,100
AK,Fishhook,4.8
AK,Flat,-
AK,Fort Greely,0
AK,Fort Yukon,18.5
AK,Four Mile Road,0
AK,Fox,0
AK,Fox River,17.1
AK,Fritz Creek,11.7
AK,Funny River,11.9
AK,Gakona,8.8
AK,Galena,7.9
AK,Gambell,41.3
AK,Game Creek,0
AK,Gateway,7.8
AK,Glacier View,9.2
AK,Glennallen,0
AK,Goldstream,3.7
AK,Golovin,39.4
AK,Goodnews Bay,36.2
AK,Grayling,42
AK,Gulkana,7.8
AK,Gustavus,8.1
AK,Haines,5.1
AK,Halibut Cove,0
AK,Happy Valley,15.5
AK,Harding-Birch Lakes,4.2
AK,Healy,6.8
AK,Healy Lake,-
AK,Hobart Bay,-
AK,Hollis,4.8
AK,Holy Cross,13.1
AK,Homer,12.6
AK,Hoonah,16.4
AK,Hooper Bay,40.9
AK,Hope,0
AK,Houston,14.8
AK,Hughes,21
AK,Huslia,24.5
AK,Hydaburg,17.3
AK,Hyder,46.2
AK,Igiugig,6.1
AK,Iliamna,15.8
AK,Ivanof Bay,-
AK,Juneau,6.6
AK,Kachemak,8.9
AK,Kake,21.8
AK,Kaktovik,4.1
AK,Kalifornsky,5.1
AK,Kaltag,13.5
AK,Karluk,31.8
AK,Kasaan,2.8
AK,Kasigluk,35.8
AK,Kasilof,5.7
AK,Kenai Peninsula,10.9
AK,Kenny Lake,35.9
AK,Ketchikan,16.6
AK,Kiana,36.3
AK,King Cove,17.5
AK,King Salmon,11.9
AK,Kipnuk,35.1
AK,Kivalina,29.9
AK,Klawock,17.5
AK,Klukwan,10.6
AK,Knik-Fairview,8.2
AK,Knik River,7.1
AK,Kobuk,49.1
AK,Kodiak,11.8
AK,Kodiak Station,6.8
AK,Kokhanok,24.1
AK,Koliganek,14.7
AK,Kongiganak,26.2
AK,Kotlik,31.6
AK,Kotzebue,16.3
AK,Koyuk,48.9
AK,Koyukuk,46.3
AK,Kupreanof,5
AK,Kwethluk,28.3
AK,Kwigillingok,21.5
AK,Lake Louise,46.7
AK,Lake Minchumina,14.3
AK,Lakes,7.3
AK,Larsen Bay,13.1
AK,Lazy Mountain,8.2
AK,Levelock,20.2
AK,Lime,85.7
AK,Livengood,0
AK,Loring,-
AK,Lowell Point,35.5
AK,Lower Kalskag,35.2
AK,Lutak,0
AK,McCarthy,0
AK,McGrath,16.8
AK,McKinley Park,30.2
AK,Manley Hot Springs,33.3
AK,Manokotak,17.4
AK,Marshall,20.3
AK,Meadow Lakes,12.9
AK,Mekoryuk,18.4
AK,Mendeltna,0
AK,Mentasta Lake,57.3
AK,Mertarvik,-
AK,Metlakatla,12
AK,Minto,19.1
AK,Moose Creek,2.1
AK,Moose Pass,14.9
AK,Mosquito Lake,9.5
AK,Mountain,29
AK,Mud Bay,0
AK,Nabesna,-
AK,Naknek,3.9
AK,Nanwalek,60.5
AK,Napakiak,53.1
AK,Napaskiak,28.3
AK,Naukati Bay,40.6
AK,Nelchina,22.4
AK,Nelson Lagoon,7.1
AK,Nenana,15.3
AK,New Allakaket,28.1
AK,Newhalen,17.7
AK,New Stuyahok,30.8
AK,Newtok,42.3
AK,Nightmute,26.6
AK,Nikiski,8.3
AK,Nikolaevsk,21.8
AK,Nikolai,21.1
AK,Nikolski,32.4
AK,Ninilchik,10.8
AK,Noatak,24.4
AK,Nome,11.3
AK,Nondalton,39.6
AK,Noorvik,37.2
AK,North Pole,7.5
AK,Northway,21.4
AK,Northway Junction,46.9
AK,Northway,50
AK,Nuiqsut,6.2
AK,Nulato,27.6
AK,Nunam Iqua,16.3
AK,Nunapitchuk,43.9
AK,Old Harbor,18.8
AK,Oscarville,27.3
AK,Ouzinkie,21.3
AK,Palmer,11.5
AK,Paxson,0
AK,Pedro Bay,8.3
AK,Pelican,0
AK,Perryville,33.7
AK,Petersburg,10.8
AK,Petersville,-
AK,Pilot Point,35.8
AK,Pilot Station,39.3
AK,Pitkas Point,25.7
AK,Platinum,40.5
AK,Pleasant Valley,11.9
AK,Point Baker,78
AK,Point Hope,17.6
AK,Point Lay,19
AK,Point MacKenzie,9
AK,Point Possession,-
AK,Pope-Vannoy Landing,-
AK,Portage Creek,-
AK,Port Alexander,0
AK,Port Alsworth,2.1
AK,Port Clarence,-
AK,Port Graham,28.2
AK,Port Heiden,0
AK,Port Lions,20.8
AK,Port Protection,39
AK,Primrose,8.2
AK,Prudhoe Bay,3.9
AK,Quinhagak,38
AK,Rampart,0
AK,Red Devil,31.8
AK,Red Dog Mine,0
AK,Ridgeway,9.6
AK,Ruby,33.2
AK,Russian Mission,33.3
AK,St. George,11.3
AK,St. Mary's,20.8
AK,St. Michael,38
AK,St. Paul,14.8
AK,Salamatof,14.9
AK,Salcha,9.8
AK,Sand Point,18.2
AK,Savoonga,48.4
AK,Saxman,15.2
AK,Scammon Bay,44.1
AK,Selawik,29.9
AK,Seldovia,9.5
AK,Seldovia,10.9
AK,Seward,8.4
AK,Shageluk,25.6
AK,Shaktoolik,23.3
AK,Shishmaref,42.8
AK,Shungnak,28.8
AK,Silver Springs,7.7
AK,Sitka and,9
AK,Skagway,4.6
AK,Skwentna,26.2
AK,Slana,92.9
AK,Sleetmute,33.7
AK,Soldotna,5.2
AK,South Naknek,12.7
AK,South Van Horn,29.6
AK,Stebbins,29.3
AK,Steele Creek,3.1
AK,Sterling,10.1
AK,Stevens,72
AK,Stony River,62.5
AK,Sunrise,0
AK,Susitna,-
AK,Susitna North,14.3
AK,Sutton-Alpine,28.6
AK,Takotna,32.7
AK,Talkeetna,6.7
AK,Tanacross,30.7
AK,Tanaina,12.2
AK,Tanana,4.2
AK,Tatitlek,12.8
AK,Tazlina,14.5
AK,Teller,39.4
AK,Tenakee Springs,2
AK,Tetlin,38.1
AK,Thorne Bay,13.4
AK,Togiak,23.5
AK,Tok,16.8
AK,Toksook Bay,14.6
AK,Tolsona,-
AK,Tonsina,0
AK,Trapper Creek,21.8
AK,Tuluksak,74.7
AK,Tuntutuliak,42
AK,Tununak,32.9
AK,Twin Hills,29.5
AK,Two Rivers,0
AK,Tyonek,21
AK,Ugashik,0
AK,Unalakleet,14.9
AK,Unalaska,7.6
AK,Upper Kalskag,18.3
AK,Valdez,9.4
AK,Venetie,53.1
AK,Wainwright,18.2
AK,Wales,34.8
AK,Wasilla,11.7
AK,Whale Pass,0
AK,White Mountain,34.3
AK,Whitestone,6
AK,Whitestone Logging Camp,-
AK,Whittier,11.2
AK,Willow,13.4
AK,Willow Creek,0
AK,Wiseman,0
AK,Womens Bay,13.8
AK,Wrangell and,11.8
AK,Yakutat,5.9
AZ,Aguila,57.4
AZ,Ajo,33.6
AZ,Ak Chin,12.1
AZ,Ak-Chin,54.5
AZ,Alamo Lake,0
AZ,Ali Chuk,73.2
AZ,Ali Chukson,17.6
AZ,Ali Molina,62.6
AZ,Alpine,20
AZ,Amado,0
AZ,Anegam,49.4
AZ,Antares,40.7
AZ,Anthem,2.9
AZ,Apache Junction,24
AZ,Arivaca,16.4
AZ,Arivaca Junction,30.3
AZ,Arizona,17.7
AZ,Arizona,33.7
AZ,Arlington,0
AZ,Ash Fork,74.8
AZ,Avenue B and C,43.7
AZ,Avondale,18.6
AZ,Avra Valley,13.3
AZ,Aztec,0
AZ,Bagdad,3.6
AZ,Bear Flat,0
AZ,Beaver Dam,29.2
AZ,Beaver Valley,0
AZ,Benson,22.1
AZ,Beyerville,45.1
AZ,Bisbee,29.1
AZ,Bitter Springs,49.4
AZ,Black Canyon,14.7
AZ,Blackwater,61
AZ,Bluewater,12.1
AZ,Bouse,8
AZ,Bowie,21.6
AZ,Brenda,11
AZ,Bryce,15.3
AZ,Buckeye,14.8
AZ,Buckshot,0
AZ,Bullhead,19.7
AZ,Burnside,45.3
AZ,Bylas,56.9
AZ,Cactus Flats,26.6
AZ,Cactus Forest,8
AZ,Cameron,38.2
AZ,Campo Bonito,0
AZ,Camp Verde,25.4
AZ,Cane Beds,16.9
AZ,Canyon Day,43.8
AZ,Carefree,9.6
AZ,Carrizo,65.9
AZ,Casa Blanca,60.3
AZ,Casa Grande,16.9
AZ,Casas Adobes,9.6
AZ,Catalina,10
AZ,Catalina Foothills,6
AZ,Cave Creek,5.8
AZ,Cedar Creek,52.9
AZ,Centennial Park,41
AZ,Central,6.4
AZ,Central Heights-Midland,19.8
AZ,Chandler,10
AZ,Charco,68.8
AZ,Chiawuli Tak,0
AZ,Chilchinbito,59.2
AZ,Chinle,38.8
AZ,Chino Valley,18.3
AZ,Chloride,29.7
AZ,Christopher Creek,37.8
AZ,Chuichu,0
AZ,Cibecue,64.6
AZ,Cibola,14.8
AZ,Cienega Springs,23.4
AZ,Citrus Park,6
AZ,Clacks Canyon,0
AZ,Clarkdale,6.6
AZ,Claypool,28.5
AZ,Clay Springs,67.2
AZ,Clifton,9.2
AZ,Colorado,51.5
AZ,Comobabi,0
AZ,Concho,0
AZ,Congress,6.1
AZ,Coolidge,27.4
AZ,Copper Hill,0
AZ,Cordes Lakes,25.4
AZ,Cornfields,54.7
AZ,Cornville,9.1
AZ,Corona de Tucson,1.3
AZ,Cottonwood,9.6
AZ,Cottonwood,19.9
AZ,Cowlic,88.9
AZ,Crozier,12.5
AZ,Crystal Beach,17.5
AZ,Cutter,42.2
AZ,Dateland,13.7
AZ,Deer Creek,18.1
AZ,Del Muerto,27.4
AZ,Dennehotso,41.6
AZ,Desert Hills,32.8
AZ,Dewey-Humboldt,12.1
AZ,Dilkon,44.4
AZ,Dolan Springs,30.5
AZ,Doney Park,8.4
AZ,Donovan Estates,15.3
AZ,Douglas,32
AZ,Dragoon,20.4
AZ,Drexel Heights,23.7
AZ,Dripping Springs,5.8
AZ,Drysdale,78.5
AZ,Dudleyville,14.3
AZ,Duncan,28.4
AZ,Eagar,18
AZ,East Fork,47.8
AZ,East Globe,0
AZ,East Verde Estates,22.4
AZ,Ehrenberg,12.4
AZ,El Capitan,0
AZ,Elephant Head,11.7
AZ,Elfrida,3.4
AZ,Elgin,13
AZ,El Mirage,19.9
AZ,Eloy,36.2
AZ,El Prado Estates,26.8
AZ,First Mesa,39.3
AZ,Flagstaff,24.2
AZ,Florence,16.8
AZ,Flowing Springs,26.2
AZ,Flowing Wells,23.7
AZ,Fort Apache,0
AZ,Fort Defiance,41.8
AZ,Fort Mohave,9
AZ,Fort Thomas,0
AZ,Fortuna Foothills,10.3
AZ,Fort Valley,9.1
AZ,Fountain Hills,5.8
AZ,Franklin,26.5
AZ,Fredonia,19.2
AZ,Freedom Acres,0
AZ,Gadsden,19.5
AZ,Ganado,24.8
AZ,Geronimo Estates,0
AZ,Gila Bend,27.9
AZ,Gila Crossing,44.6
AZ,Gilbert,6.6
AZ,Gisela,49.4
AZ,Glendale,21.7
AZ,Globe,19.8
AZ,Gold Canyon,5.9
AZ,Golden Shores,7.4
AZ,Golden Valley,25.1
