State,City,percent_completed_hs
AL,Abanda,21.2
AL,Abbeville,69.1
AL,Adamsville,78.9
AL,Addison,81.4
AL,Akron,68.6
AL,Alabaster,89.3
AL,Albertville,72.7
AL,Alexander,78.1
AL,Alexandria,88.8
AL,Aliceville,74.3
AL,Allgood,48.1
AL,Altoona,66.9
AL,Andalusia,81.1
AL,Anderson,85.7
AL,Anniston,79.8
AL,Arab,87.6
AL,Ardmore,77.7
AL,Argo,87.5
AL,Ariton,71.3
AL,Arley,80.6
AL,Ashford,83.5
AL,Ashland,77.9
AL,Ashville,77.6
AL,Athens,83.4
AL,Atmore,73.7
AL,Attalla,76
AL,Auburn,94.3
AL,Autaugaville,71.2
AL,Avon,82.8
AL,Axis,79.9
AL,Babbie,81.2
AL,Baileyton,74.7
AL,Bakerhill,72.4
AL,Ballplay,80.3
AL,Banks,73
AL,Bay Minette,79.1
AL,Bayou La Batre,58.5
AL,Bear Creek,76.7
AL,Beatrice,89.1
AL,Beaverton,87.9
AL,Belgreen,87
AL,Belk,63.8
AL,Bellamy,86.5
AL,Belle Fontaine,91.9
AL,Benton,100
AL,Berry,65.4
AL,Bessemer,81.5
AL,Billingsley,71.3
AL,Birmingham,85.1
AL,Black,90
AL,Blountsville,73.1
AL,Blue Ridge,97.6
AL,Blue Springs,95.6
AL,Boaz,76.6
AL,Boligee,79.9
AL,Bon Air,85.7
AL,Bon Secour,79
AL,Boykin,53.7
AL,Brantley,75.1
AL,Brantleyville,85.1
AL,Brent,73.8
AL,Brewton,84.5
AL,Bridgeport,74.9
AL,Brighton,78.6
AL,Brilliant,75.9
AL,Bristow Cove,65.1
AL,Brook Highland,96.2
AL,Brookside,78.7
AL,Brookwood,83.1
AL,Broomtown,66.2
AL,Brundidge,77.2
AL,Bucks,100
AL,Butler,80.2
AL,Calera,89.1
AL,Calvert,22.8
AL,Camden,82.8
AL,Camp Hill,76.6
AL,Carbon Hill,65.4
AL,Cardiff,72.7
AL,Carlisle-Rockledge,73.1
AL,Carlton,77
AL,Carolina,87.8
AL,Carrollton,71
AL,Castleberry,75.9
AL,Catherine,100
AL,Cedar Bluff,77.9
AL,Center Point,87.1
AL,Centre,76.7
AL,Centreville,81.6
AL,Chatom,76
AL,Chelsea,93.5
AL,Cherokee,80.9
AL,Chickasaw,79.9
AL,Childersburg,78.8
AL,Choccolocco,89.4
AL,Chunchula,91.2
AL,Citronelle,82.5
AL,Clanton,76.8
AL,Clay,92.2
AL,Clayhatchee,85.3
AL,Clayton,57.8
AL,Cleveland,74.4
AL,Clio,63.1
AL,Coaling,88.2
AL,Coats Bend,90.9
AL,Coffee Springs,78
AL,Coffeeville,71.7
AL,Coker,89.2
AL,Collinsville,52
AL,Colony,77
AL,Columbia,79
AL,Columbiana,74.4
AL,Concord,91.3
AL,Coosada,84.3
AL,Cordova,79.8
AL,Cottondale,74.9
AL,Cottonwood,76.3
AL,County Line,83.9
AL,Courtland,79.6
AL,Cowarts,86
AL,Creola,84.4
AL,Crossville,70.4
AL,Cuba,92.1
AL,Cullman,85.3
AL,Cullomburg,93.4
AL,Cusseta,83.7
AL,Dadeville,73.7
AL,Daleville,85.3
AL,Daphne,95.8
AL,Dauphin Island,95.8
AL,Daviston,87.8
AL,Dayton,100
AL,Deatsville,96.3
AL,Decatur,82.7
AL,Deer Park,86.3
AL,Delta,87
AL,Demopolis,89.1
AL,Detroit,64.8
AL,Dodge,81.7
AL,Dora,82.3
AL,Dothan,86.2
AL,Double Springs,74.5
AL,Douglas,78.5
AL,Dozier,79.1
AL,Dunnavant,76
AL,Dutton,90.6
AL,East Brewton,83.6
AL,East Point,91.4
AL,Eclectic,84.2
AL,Edgewater,84.1
AL,Edwardsville,87
AL,Egypt,84.9
AL,Elba,76.9
AL,Elberta,85.8
AL,Eldridge,75
AL,Elkmont,78.2
AL,Elmore,70.5
AL,Emelle,79.3
AL,Emerald Mountain,90.9
AL,Enterprise,89.2
AL,Epes,81.6
AL,Ethelsville,80.6
AL,Eufaula,81.5
AL,Eunola,96.1
AL,Eutaw,73.2
AL,Eva,91.2
AL,Evergreen,79.2
AL,Excel,86
AL,Fairfield,88.9
AL,Fairford,57.6
AL,Fairhope,95.4
AL,Fairview,82
AL,Falkville,65.1
AL,Faunsdale,85.7
AL,Fayette,79.1
AL,Fayetteville,68.5
AL,Fitzpatrick,60.7
AL,Five Points,61.9
AL,Flomaton,77.3
AL,Florala,79.6
AL,Florence,84.4
AL,Foley,91.5
AL,Forestdale,93.5
AL,Forkland,74.1
AL,Fort Deposit,70.5
AL,Fort Payne,67.7
AL,Fort Rucker,98.8
AL,Franklin,85
AL,Fredonia,88.6
AL,Frisco,77.3
AL,Fruitdale,93.3
AL,Fruithurst,75.8
AL,Fulton,76
AL,Fultondale,85.1
AL,Fyffe,83.7
AL,Gadsden,78.3
AL,Gainesville,76.7
AL,Gallant,83.7
AL,Gantt,85.6
AL,Garden,79.8
AL,Gardendale,92.2
AL,Gaylesville,78.4
AL,Geiger,71.3
AL,Geneva,78.1
AL,Georgiana,71.1
AL,Geraldine,84.2
AL,Gilbertown,83.8
AL,Glen Allen,76.5
AL,Glencoe,86.6
AL,Glenwood,84.8
AL,Goldville,86.7
AL,Good Hope,86.5
AL,Goodwater,71.6
AL,Gordo,80.4
AL,Gordon,66.8
AL,Gordonville,76.1
AL,Goshen,71.2
AL,Graham,74
AL,Grand Bay,84.6
AL,Grant,89.2
AL,Grayson Valley,90.4
AL,Graysville,79.8
AL,Greensboro,75
AL,Greenville,78.4
AL,Grimes,84.5
AL,Grove Hill,85.8
AL,Guin,75.4
AL,Gulfcrest,87.2
AL,Gulf Shores,92.9
AL,Guntersville,83.1
AL,Gurley,74.5
AL,Gu-Win,87.2
AL,Hackleburg,76.5
AL,Hackneyville,95.1
AL,Haleburg,80
AL,Haleyville,70.7
AL,Hamilton,82.7
AL,Hammondville,74.5
AL,Hanceville,77.7
AL,Harpersville,80.7
AL,Hartford,70.6
AL,Hartselle,91.9
AL,Harvest,90.6
AL,Hatton,83.2
AL,Hayden,83.4
AL,Hayneville,72.1
AL,Hazel Green,88.2
AL,Headland,88.1
AL,Heath,80.3
AL,Heflin,74.3
AL,Helena,97.7
AL,Henagar,71.7
AL,Highland Lake,94.3
AL,Highland Lakes,97.6
AL,Hillsboro,74.6
AL,Hissop,73.8
AL,Hobson,63.6
AL,Hobson,77.3
AL,Hodges,69.3
AL,Hokes Bluff,89.2
AL,Hollins,68.2
AL,Hollis Crossroads,71.4
AL,Holly Pond,90.4
AL,Hollywood,71.3
AL,Holt,75
AL,Holtville,85.6
AL,Homewood,93.5
AL,Hoover,95.2
AL,Horn Hill,66.3
AL,Hueytown,86.5
AL,Huguley,79.3
AL,Huntsville,90.2
AL,Hurtsboro,75.3
AL,Hytop,70.6
AL,Ider,80.5
AL,Indian Springs,97.2
AL,Irondale,87.4
AL,Ivalee,77
AL,Jackson,85.8
AL,Jacksons' Gap,67.1
AL,Jacksonville,89
AL,Jasper,85.3
AL,Jemison,77.8
AL,Joppa,67.3
AL,Kansas,66.4
AL,Kellyton,71.3
AL,Kennedy,82.6
AL,Killen,87.1
AL,Kimberly,89.4
AL,Kinsey,75.9
AL,Kinston,69.5
AL,Ladonia,84.4
AL,La Fayette,69.7
AL,Lakeview,92.3
AL,Lake View,95.7
AL,Lanett,77.2
AL,Langston,85.1
AL,Leeds,87.2
AL,Leesburg,80.5
AL,Leighton,71.9
AL,Leroy,99.3
AL,Lester,89
AL,Level Plains,91.3
AL,Lexington,87.1
AL,Libertyville,77.3
AL,Lillian,96.6
AL,Lincoln,87.5
AL,Linden,87.1
AL,Lineville,77.8
AL,Lipscomb,71
AL,Lisman,67.2
AL,Littleville,81.8
AL,Livingston,86
AL,Loachapoka,89.5
AL,Lockhart,82.2
AL,Locust Fork,81.9
AL,Lookout Mountain,82.3
AL,Louisville,65.7
AL,Lowndesboro,90.2
AL,Loxley,85.3
AL,Luverne,77.9
AL,Lynn,74.8
AL,McDonald Chapel,60.3
AL,Macedonia,81.4
AL,McIntosh,95.8
AL,McKenzie,75.5
AL,McMullen,40
AL,Madison,95.7
AL,Madrid,70.6
AL,Magnolia Springs,89.1
AL,Malcolm,90.1
AL,Malvern,74
AL,Maplesville,77.3
AL,Marbury,83.8
AL,Margaret,92.5
AL,Marion,81.4
AL,Maytown,88.4
AL,Meadowbrook,94
AL,Megargel,53.1
AL,Memphis,29.4
AL,Mentone,87.5
AL,Meridianville,86.6
AL,Midfield,90.2
AL,Midland,79.3
AL,Midway,58.3
AL,Mignon,75.2
AL,Millbrook,91.3
AL,Millerville,70.7
AL,Millport,79.6
AL,Millry,86.1
AL,Minor,88.9
AL,Mobile,86.9
AL,Monroeville,82.3
AL,Montevallo,86.6
AL,Montgomery,85.5
AL,Moody,87.9
AL,Moores Mill,91
AL,Mooresville,83.1
AL,Morris,84.9
AL,Morrison Crossroads,93.8
AL,Mosses,60.4
AL,Moulton,79.2
AL,Moundville,77.3
AL,Mountain Brook,99.5
AL,Mount Olive (Coosa County),87.3
AL,Mount Olive (Jefferson County),92.5
AL,Mount Vernon,80.8
AL,Movico,81.9
AL,Mulga,72
AL,Munford,87.3
AL,Muscle Shoals,88.7
AL,Myrtlewood,72.5
AL,Nanafalia,94
AL,Nances Creek,79.1
AL,Napier Field,80.2
AL,Natural Bridge,65.7
AL,Nauvoo,67.2
AL,Nectar,78.3
AL,Needham,83.7
AL,Newbern,74.6
AL,New Brockton,79.8
AL,New Hope,84.3
AL,New Market,86.9
AL,New Site,82.1
AL,Newton,82.3
AL,New Union,84
AL,Newville,73
AL,North Courtland,71.3
AL,North Johns,75.6
AL,Northport,90.2
AL,Notasulga,80.7
AL,Oak Grove,73
AL,Oak Hill,27.3
AL,Oakman,72.2
AL,Odenville,76.4
AL,Ohatchee,82
AL,Oneonta,73.9
AL,Onycha,60.5
AL,Opelika,83.7
AL,Opp,77.4
AL,Orange Beach,92.6
AL,Orrville,71.4
AL,Our,78.6
AL,Owens Cross Roads,86.7
AL,Oxford,83.5
AL,Ozark,82.5
AL,Paint Rock,77.5
AL,Panola,38.1
AL,Parrish,75.3
AL,Pelham,92.2
AL,Pell City,86.5
AL,Pennington,69.9
AL,Penton,51.2
AL,Perdido,78.5
AL,Perdido Beach,86.3
AL,Peterman,97.2
AL,Petrey,86.5
AL,Phenix City,84.8
AL,Phil Campbell,78.5
AL,Pickensville,70
AL,Piedmont,76.8
AL,Pike Road,95.8
AL,Pinckard,88.6
AL,Pine Apple,81.5
AL,Pine Hill,89.1
AL,Pine Level,90.5
AL,Pine Ridge,54.6
AL,Pinson,93.2
AL,Pisgah,78.7
AL,Pleasant Grove,91.1
AL,Pleasant Groves,85
AL,Point Clear,89.1
AL,Pollard,82.3
AL,Powell,61.2
AL,Prattville,89.9
AL,Priceville,91
AL,Prichard,78.5
AL,Providence,90.5
AL,Putnam,72.8
AL,Ragland,73.9
AL,Rainbow,92.5
AL,Rainsville,82.3
AL,Ranburne,86.5
AL,Ray,82.9
AL,Red Bay,77.1
AL,Redland,91.8
AL,Red Level,79.2
AL,Redstone Arsenal,94
AL,Reece,85.6
AL,Reeltown,78.5
AL,Reform,79.4
AL,Rehobeth,84.9
AL,Repton,58
AL,Ridgeville,69.6
AL,River Falls,64.6
AL,Riverside,87
AL,Riverview,75.5
AL,Roanoke,77.2
AL,Robertsdale,79.9
AL,Rock Creek,85.2
AL,Rockford,68.4
AL,Rock Mills,70.4
AL,Rockville,64.7
AL,Rogersville,81.9
AL,Rosa,81.3
AL,Russellville,68.9
AL,Rutledge,69.8
AL,St. Florian,91.7
AL,St. Stephens,88.2
AL,Saks,78.6
AL,Samson,65.7
AL,Sand Rock,80.8
AL,Sanford,73.1
AL,Saraland,85.4
AL,Sardis,88.7
AL,Satsuma,91.8
AL,Scottsboro,81.8
AL,Section,76.6
AL,Selma,77.8
AL,Selmont-West Selmont,78.1
AL,Semmes,77.3
AL,Sheffield,79.5
AL,Shelby,78.9
AL,Shiloh,75.6
AL,Shoal Creek,99.6
AL,Shorter,68.4
AL,Silas,66
AL,Silverhill,89.3
AL,Sims Chapel,100
AL,Sipsey,83.2
AL,Skyline,75.4
AL,Slocomb,75.5
AL,Smiths Station,80.3
AL,Smoke Rise,92.7
AL,Snead,80.3
AL,Somerville,78.4
AL,Southside,90.3
AL,South Vinemont,79.1
AL,Spanish Fort,95.8
AL,Spring Garden,100
AL,Springville,91.1
AL,Spruce Pine,76.6
AL,Standing Rock,61.4
AL,Stapleton,84.1
AL,Steele,78.7
AL,Sterrett,64.1
AL,Stevenson,81.6
AL,Stewartville,73.7
AL,Stockton,91.3
AL,Sulligent,74
AL,Sumiton,85.1
AL,Summerdale,85.3
AL,Susan Moore,75
AL,Sweet Water,92.5
AL,Sylacauga,82.5
AL,Sylvania,83.6
AL,Sylvan Springs,86.9
AL,Talladega,73.9
AL,Talladega Springs,80.1
AL,Tallassee,88.9
AL,Tarrant,78.6
AL,Taylor,83.6
AL,Theodore,85.4
AL,Thomaston,89.3
AL,Thomasville,82.4
AL,Thorsby,80.7
AL,Tibbie,100
AL,Tidmore Bend,80.6
AL,Tillmans Corner,82.1
AL,Town Creek,83.2
AL,Toxey,85.6
AL,Trafford,80.8
AL,Triana,81.4
AL,Trinity,93.7
AL,Troy,83.7
AL,Trussville,96.3
AL,Tuscaloosa,87.3
AL,Tuscumbia,86.2
AL,Tuskegee,83.6
AL,Twin,77.6
AL,Underwood-Petersville,77.1
AL,Union,76.2
AL,Union Grove,91.7
AL,Union Springs,57.1
AL,Uniontown,66.1
AL,Uriah,83.8
AL,Valley,84.9
AL,Valley Grande,85.9
AL,Valley Head,75.7
AL,Vance,88
AL,Vandiver,75.9
AL,Vernon,81
AL,Vestavia Hills,97.3
AL,Vina,57.3
AL,Vincent,77.5
AL,Vinegar Bend,64.5
AL,Vredenburgh,73.5
AL,Wadley,73.9
AL,Waldo,75.8
AL,Walnut Grove,68.4
AL,Warrior,86.9
AL,Waterloo,73.6
AL,Waverly,74.1
AL,Weaver,83.9
AL,Webb,78
AL,Wedowee,70.1
AL,Weogufka,56.3
AL,West Blocton,79.9
AL,West End-Cobb,68.1
AL,West Jefferson,88.3
AL,Westover,85.2
AL,West Point,86.9
AL,Wetumpka,85
AL,Whatley,-
AL,White Hall,66.6
AL,White Plains,95.7
AL,Whitesboro,84.4
AL,Wilsonville,88
AL,Wilton,84.6
AL,Winfield,86.8
AL,Woodland,86.4
AL,Woodstock,89.5
AL,Woodville,77.7
AL,Yellow Bluff,62
AL,York,77.1
AK,Adak,93.4
AK,Akhiok,62.5
AK,Akiachak,76.7
AK,Akiak,81.3
AK,Akutan,73
AK,Alakanuk,65.4
AK,Alatna,100
AK,Alcan Border,100
AK,Aleknagik,84
AK,Aleneva,0
AK,Allakaket,72.9
AK,Ambler,78.7
AK,Anaktuvuk Pass,80.9
AK,Anchorage,93
AK,Anchor Point,93.8
AK,Anderson,98.6
AK,Angoon,86.7
AK,Aniak,83.8
AK,Anvik,94.2
AK,Arctic,75
AK,Atka,89.5
AK,Atmautluak,70.2
AK,Atqasuk,75.9
AK,Attu Station,100
AK,Badger,96.2
AK,Barrow,84.6
AK,Bear Creek,92.5
AK,Beaver,69.8
AK,Beluga,66.7
AK,Bethel,85.8
AK,Bettles,100
AK,Big Delta,97.6
AK,Big Lake,90.4
AK,Birch Creek,0
AK,Brevig Mission,78
AK,Buckland,86.2
AK,Buffalo Soapstone,90.4
AK,Butte,94.3
AK,Cantwell,95
AK,Central,82.2
AK,Chalkyitsik,88.7
AK,Chase,65.2
AK,Chefornak,74.3
AK,Chena Ridge,96.5
AK,Chenega,100
AK,Chevak,82.8
AK,Chickaloon,91.7
AK,Chicken,-
AK,Chignik,100
AK,Chignik Lagoon,84
AK,Chignik Lake,68.2
AK,Chiniak,100
AK,Chisana,-
AK,Chistochina,80
AK,Chitina,82.6
AK,Chuathbaluk,92
AK,Circle,54.3
AK,Clam Gulch,84.3
AK,Clark's Point,74.2
AK,Coffman Cove,91.9
AK,Cohoe,95
AK,Cold Bay,97.5
AK,Coldfoot,70
AK,College,94.9
AK,Cooper Landing,95.3
AK,Copper Center,84.8
AK,Cordova,91.6
AK,Covenant Life,100
AK,Craig,89.3
AK,Crooked Creek,80.8
AK,Crown Point,100
AK,Deering,88
AK,Delta Junction,95.4
AK,Deltana,93.8
AK,Diamond Ridge,97
AK,Dillingham,93.6
AK,Diomede,63.6
AK,Dot Lake,-
AK,Dot Lake,64.9
AK,Dry Creek,100
AK,Eagle,90.7
AK,Eagle,82.4
AK,Edna Bay,-
AK,Eek,68.7
AK,Egegik,91.1
AK,Eielson AFB,96.6
AK,Ekwok,63.4
AK,Elfin Cove,100
AK,Elim,86.9
AK,Emmonak,83.9
AK,Ester,95
AK,Eureka Roadhouse,-
AK,Evansville,78.6
AK,Excursion Inlet,86.7
AK,Fairbanks,91.2
AK,False Pass,100
AK,Farmers Loop,98.9
AK,Farm Loop,92.4
AK,Ferry,100
AK,Fishhook,94.5
AK,Flat,-
AK,Fort Greely,100
AK,Fort Yukon,77.1
AK,Four Mile Road,50
AK,Fox,100
AK,Fox River,37.9
AK,Fritz Creek,92.7
AK,Funny River,94.3
AK,Gakona,92.9
AK,Galena,86.4
AK,Gambell,72.4
AK,Game Creek,100
AK,Gateway,96.1
AK,Glacier View,90.2
AK,Glennallen,94.4
AK,Goldstream,97.3
AK,Golovin,90.4
AK,Goodnews Bay,58.6
AK,Grayling,70.4
AK,Gulkana,91.2
AK,Gustavus,95.6
AK,Haines,95.4
AK,Halibut Cove,100
AK,Happy Valley,91.4
AK,Harding-Birch Lakes,94.5
AK,Healy,93.6
AK,Healy Lake,-
AK,Hobart Bay,-
AK,Hollis,89.5
AK,Holy Cross,86.1
AK,Homer,95.9
AK,Hoonah,87.7
AK,Hooper Bay,75
AK,Hope,100
AK,Houston,90.2
AK,Hughes,92.6
AK,Huslia,93.1
AK,Hydaburg,90.1
AK,Hyder,53.8
AK,Igiugig,90.3
AK,Iliamna,88.7
AK,Ivanof Bay,-
AK,Juneau,94.8
AK,Kachemak,92.6
AK,Kake,85.7
AK,Kaktovik,76.5
AK,Kalifornsky,96.3
AK,Kaltag,86.4
AK,Karluk,85
AK,Kasaan,90.2
AK,Kasigluk,68.1
AK,Kasilof,100
AK,Kenai Peninsula,89.7
AK,Kenny Lake,100
AK,Ketchikan,89.9
AK,Kiana,76.1
AK,King Cove,87.3
AK,King Salmon,93.2
AK,Kipnuk,76.4
AK,Kivalina,64.6
AK,Klawock,86.2
AK,Klukwan,86.5
AK,Knik-Fairview,91.2
AK,Knik River,93
AK,Kobuk,72.1
AK,Kodiak,87.1
AK,Kodiak Station,97.2
AK,Kokhanok,84.5
AK,Koliganek,77.3
AK,Kongiganak,79.4
AK,Kotlik,74.2
AK,Kotzebue,82.9
AK,Koyuk,82.4
AK,Koyukuk,82.4
AK,Kupreanof,100
AK,Kwethluk,75.9
AK,Kwigillingok,78.8
AK,Lake Louise,73.3
AK,Lake Minchumina,88.2
AK,Lakes,95.1
AK,Larsen Bay,78.7
AK,Lazy Mountain,97.1
AK,Levelock,88.6
AK,Lime,28.6
AK,Livengood,100
AK,Loring,-
AK,Lowell Point,100
AK,Lower Kalskag,78.5
AK,Lutak,100
AK,McCarthy,74.4
AK,McGrath,93.7
AK,McKinley Park,97.1
AK,Manley Hot Springs,86.7
AK,Manokotak,87.5
AK,Marshall,86
AK,Meadow Lakes,90.4
AK,Mekoryuk,80.2
AK,Mendeltna,100
AK,Mentasta Lake,70.1
AK,Mertarvik,-
AK,Metlakatla,91
AK,Minto,77.6
AK,Moose Creek,85.6
AK,Moose Pass,94.1
AK,Mosquito Lake,89.6
AK,Mountain,77.8
AK,Mud Bay,95.4
AK,Nabesna,-
AK,Naknek,93.6
AK,Nanwalek,98
AK,Napakiak,72.6
AK,Napaskiak,76
AK,Naukati Bay,70.4
AK,Nelchina,82.7
AK,Nelson Lagoon,57.5
AK,Nenana,78.9
AK,New Allakaket,72.2
AK,Newhalen,92.8
AK,New Stuyahok,75.9
AK,Newtok,72.6
AK,Nightmute,66.4
AK,Nikiski,91.9
AK,Nikolaevsk,84.8
AK,Nikolai,76.3
AK,Nikolski,92.3
AK,Ninilchik,94.5
AK,Noatak,84.9
AK,Nome,92.6
AK,Nondalton,84.7
AK,Noorvik,75.3
AK,North Pole,92.1
AK,Northway,86.3
AK,Northway Junction,93.3
AK,Northway,62.9
AK,Nuiqsut,65.2
AK,Nulato,82.8
AK,Nunam Iqua,62.3
AK,Nunapitchuk,73.6
AK,Old Harbor,73.4
AK,Oscarville,60
AK,Ouzinkie,76.7
AK,Palmer,91.3
AK,Paxson,100
AK,Pedro Bay,90.9
AK,Pelican,78.7
AK,Perryville,71.7
AK,Petersburg,93.6
AK,Petersville,-
AK,Pilot Point,68.8
AK,Pilot Station,72.6
AK,Pitkas Point,77.6
AK,Platinum,66.7
AK,Pleasant Valley,100
AK,Point Baker,100
AK,Point Hope,83.6
AK,Point Lay,75.7
AK,Point MacKenzie,89
AK,Point Possession,-
AK,Pope-Vannoy Landing,-
AK,Portage Creek,-
AK,Port Alexander,100
AK,Port Alsworth,94.7
AK,Port Clarence,100
AK,Port Graham,93.2
AK,Port Heiden,90
AK,Port Lions,85
AK,Port Protection,100
AK,Primrose,100
AK,Prudhoe Bay,96.4
AK,Quinhagak,66.7
AK,Rampart,0
AK,Red Devil,66.7
AK,Red Dog Mine,90.9
AK,Ridgeway,96.4
AK,Ruby,83.2
AK,Russian Mission,76.2
AK,St. George,91.1
AK,St. Mary's,84
AK,St. Michael,79.2
AK,St. Paul,82.1
AK,Salamatof,87.5
AK,Salcha,97.5
AK,Sand Point,84.6
AK,Savoonga,61.4
AK,Saxman,87.1
AK,Scammon Bay,74.9
AK,Selawik,66.2
AK,Seldovia,95.5
AK,Seldovia,92.6
AK,Seward,93.9
AK,Shageluk,87.1
AK,Shaktoolik,80.6
AK,Shishmaref,79.9
AK,Shungnak,69.3
AK,Silver Springs,90.7
AK,Sitka and,92.8
AK,Skagway,97.2
AK,Skwentna,100
AK,Slana,73.1
AK,Sleetmute,75.6
AK,Soldotna,93.6
AK,South Naknek,76.4
AK,South Van Horn,82.1
AK,Stebbins,74.3
AK,Steele Creek,95.3
AK,Sterling,94.5
AK,Stevens,80
AK,Stony River,50
AK,Sunrise,100
AK,Susitna,-
AK,Susitna North,88.7
AK,Sutton-Alpine,84.5
AK,Takotna,82.8
AK,Talkeetna,88.3
AK,Tanacross,79.3
AK,Tanaina,92.3
AK,Tanana,86.1
AK,Tatitlek,86.3
AK,Tazlina,90.1
AK,Teller,65.2
AK,Tenakee Springs,95.9
AK,Tetlin,82.8
AK,Thorne Bay,95.9
AK,Togiak,75.3
AK,Tok,91
AK,Toksook Bay,75.6
AK,Tolsona,-
AK,Tonsina,100
AK,Trapper Creek,94.3
AK,Tuluksak,74.4
AK,Tuntutuliak,64.1
AK,Tununak,81.7
AK,Twin Hills,74.5
AK,Two Rivers,100
AK,Tyonek,93.3
AK,Ugashik,100
AK,Unalakleet,93.2
AK,Unalaska,82.8
AK,Upper Kalskag,76.6
AK,Valdez,96.1
AK,Venetie,62.4
AK,Wainwright,80.8
AK,Wales,78
AK,Wasilla,91.8
AK,Whale Pass,100
AK,White Mountain,85.4
AK,Whitestone,69.9
AK,Whitestone Logging Camp,-
AK,Whittier,91.1
AK,Willow,89.5
AK,Willow Creek,100
AK,Wiseman,100
AK,Womens Bay,94.1
AK,Wrangell and,90.2
AK,Yakutat,93.9
AZ,Aguila,26.1
AZ,Ajo,80
AZ,Ak Chin,100
AZ,Ak-Chin,59.8
AZ,Alamo Lake,100
AZ,Ali Chuk,82.4
AZ,Ali Chukson,56.8
AZ,Ali Molina,73
AZ,Alpine,86.3
AZ,Amado,69.9
AZ,Anegam,81.6
AZ,Antares,60.9
AZ,Anthem,96.7
AZ,Apache Junction,85.5
AZ,Arivaca,90.4
AZ,Arivaca Junction,78
AZ,Arizona,90.3
AZ,Arizona,72.4
AZ,Arlington,65.6
AZ,Ash Fork,68.5
AZ,Avenue B and C,49.9
AZ,Avondale,79
AZ,Avra Valley,87.2
AZ,Aztec,100
AZ,Bagdad,86.7
AZ,Bear Flat,100
AZ,Beaver Dam,73
AZ,Beaver Valley,90.9
AZ,Benson,88
AZ,Beyerville,56.4
AZ,Bisbee,87.3
AZ,Bitter Springs,59.7
AZ,Black Canyon,90.4
AZ,Blackwater,67.7
AZ,Bluewater,80.2
AZ,Bouse,84.8
AZ,Bowie,58.3
AZ,Brenda,77.9
AZ,Bryce,100
AZ,Buckeye,84.3
AZ,Buckshot,50
AZ,Bullhead,82.7
AZ,Burnside,79
AZ,Bylas,72.3
AZ,Cactus Flats,93.4
AZ,Cactus Forest,100
AZ,Cameron,71.1
AZ,Campo Bonito,100
AZ,Camp Verde,83.9
AZ,Cane Beds,100
AZ,Canyon Day,73.4
AZ,Carefree,99.4
AZ,Carrizo,53.2
AZ,Casa Blanca,63.6
AZ,Casa Grande,86.4
AZ,Casas Adobes,92.8
AZ,Catalina,90.5
AZ,Catalina Foothills,98
AZ,Cave Creek,96.6
AZ,Cedar Creek,70.4
AZ,Centennial Park,80.3
AZ,Central,88.2
AZ,Central Heights-Midland,72.2
AZ,Chandler,91.5
AZ,Charco,37.5
AZ,Chiawuli Tak,100
AZ,Chilchinbito,76.4
AZ,Chinle,83.1
AZ,Chino Valley,87
AZ,Chloride,96.3
AZ,Christopher Creek,100
AZ,Chuichu,59
AZ,Cibecue,58.2
AZ,Cibola,49.5
AZ,Cienega Springs,86.4
AZ,Citrus Park,93.3
AZ,Clacks Canyon,100
AZ,Clarkdale,94.7
AZ,Claypool,79.3
AZ,Clay Springs,82.8
AZ,Clifton,82.3
AZ,Colorado,43.2
AZ,Comobabi,55.6
AZ,Concho,78.6
AZ,Congress,89.5
AZ,Coolidge,80.7
AZ,Copper Hill,100
AZ,Cordes Lakes,79.7
AZ,Cornfields,67.3
AZ,Cornville,82.5
AZ,Corona de Tucson,96
AZ,Cottonwood,84.6
AZ,Cottonwood,84.9
AZ,Cowlic,100
AZ,Crozier,86.4
AZ,Crystal Beach,76.5
AZ,Cutter,100
AZ,Dateland,84
AZ,Deer Creek,91.1
AZ,Del Muerto,40.7
AZ,Dennehotso,74.4
AZ,Desert Hills,76.3
AZ,Dewey-Humboldt,89
AZ,Dilkon,73.5
AZ,Dolan Springs,78.9
AZ,Doney Park,83
AZ,Donovan Estates,58.2
AZ,Douglas,70.9
AZ,Dragoon,83.3
AZ,Drexel Heights,79.1
AZ,Dripping Springs,87.4
AZ,Drysdale,16.4
AZ,Dudleyville,94.9
AZ,Duncan,72.2
AZ,Eagar,89.2
AZ,East Fork,40.8
AZ,East Globe,73.7
AZ,East Verde Estates,95
AZ,Ehrenberg,79.1
AZ,El Capitan,88.5
AZ,Elephant Head,96.6
AZ,Elfrida,69.6
AZ,Elgin,100
AZ,El Mirage,82.8
AZ,Eloy,64.2
AZ,El Prado Estates,35
AZ,First Mesa,84.5
AZ,Flagstaff,91.3
AZ,Florence,75.6
AZ,Flowing Springs,77
AZ,Flowing Wells,84.4
AZ,Fort Apache,82.1
AZ,Fort Defiance,86.9
AZ,Fort Mohave,86.3
AZ,Fort Thomas,93.5
AZ,Fortuna Foothills,86.6
AZ,Fort Valley,97
AZ,Fountain Hills,96.6
AZ,Franklin,100
AZ,Fredonia,86
AZ,Freedom Acres,62.3
AZ,Gadsden,42.4
AZ,Ganado,77.8
AZ,Geronimo Estates,100
AZ,Gila Bend,61.2
AZ,Gila Crossing,60.6
AZ,Gilbert,95.6
AZ,Gisela,87
AZ,Glendale,83.6
AZ,Globe,83
AZ,Gold Canyon,96.2
